symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,374,-1,-0.27,17635,6543207
SSHL,Shiva Shree Hydropower Ltd,HydroPower,200.3,-2.2,-1.09,78553,15806982.1
STC,Salt Trading Corporation,Trading,5180,-20,-0.38,515,2639751
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited,Microfinance,2040,15,0.74,441,889079
SWBBL,Swabalamban Bikas Bank,Microfinance,665,-8,-1.19,4356,2899962.6
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,619,9,1.48,7161,4310848.9
SYPNL,SY Panel Nepal Limited,Manu.& Pro.,1284,4,0.31,22646,28983016.5
TAMOR,Sanima Middle Tamor Hydropower Limited,HydroPower,445.1,-4.9,-1.09,9540,4254974.1
TPC,Terhathum Power Company Limited,HydroPower,359.5,-0.8,-0.22,10040,3619427.6
TPKHL,Taksar Pikhuwa Khola Hydropower Limited ,HydroPower,554,2,0.36,37966,21082316.1
TRH,Taragaon Regency Hotel,Hotels And Tourism,790,-2,-0.25,2221,1764356
TSHL,Three Star Hydropower Limited,HydroPower,369.9,-2.3,-0.62,6016,2220987
TTL,Trade Tower Limited,Others,710,-6.1,-0.85,16478,11704062.4
TVCL,Trishuli Jal Vidhyut Company Limited,HydroPower,482,6.9,1.45,2631,1259567
UAIL,United Ajod Insurance Limited,Non Life Insurance,440.7,-0.7,-0.16,14840,6502542.3
UHEWA,Upper Hewakhola Hydropower Company Limited,HydroPower,582,10.21,1.79,27628,15948963.7
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2738,37.5,1.39,586,1550441
ULHC,Upper Lohore Khola Hydropower Company Limited,HydroPower,379,-28.2,-6.93,124394,45175849.9
UMHL,United Modi Hydropower,HydroPower,583,0.9,0.15,28870,16773939.7
UMRH,United IDI Mardi RB Hydropower Limited,HydroPower,526.1,-9,-1.68,3386,1791298.8
UNHPL,Union Hydropower Limited,HydroPower,375,-4,-1.06,7991,3008338.7
UNL,Unilever Nepal,Manu.& Pro.,48500,500,1.04,13,630500
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,1275.9,18,1.43,658,832368.5
UPCL,Universal Power Company Ltd,HydroPower,350,-1,-0.28,17545,6121005.4
UPPER,Upper Tamakoshi Hydropower Ltd,HydroPower,192,-2.1,-1.08,96273,18527402.1
USHEC,Upper Solu Hydro Electric Company Limited,HydroPower,497,0.9,0.18,6636,3309562.8
USHL,Upper Syange Hydropower Limited,HydroPower,538.9,-0.1,-0.02,1505,796946.2
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,1125,-13.7,-1.2,1018,1133884.3
VLBS,Vijaya Laghubitta Bittiya Sanstha,Microfinance,666,1,0.15,1433,946389.7
VLUCL,Vision Lumbini Urja Company Limited,HydroPower,420,1,0.24,5158,2136214.5
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,1351,16,1.2,166,223588
YMHL,Yambaling Hydropower Limited,HydroPower,621.79,-17.91,-2.8,26605,16603340
