symbol,open,high,low,close,ltp,volume,prev_close,turnover,transactions,diff,diff_percent,fifty_two_week_high,fifty_two_week_low,confidence,dma20,diff_20dma,below_20dma
RSML,2620.0,2620.0,2620.0,2620.0,2620.0,27037,2541.6,70153349.0,,78.4,3.08,3791.0,2620.0,,3149.89,-529.89,
RSY,10.26,10.26,10.26,10.26,10.26,0,10.25,55042.0,,0.01,0.1,,,,,0,
RURU,614.0,614.0,614.0,614.0,614.0,10900,612.1,6807373.6,,1.9,0.31,,,,,0,
SABBL,979.0,979.0,979.0,979.0,979.0,24385,985.0,23721888.2,,-6.0,-0.61,,,,,0,
SADBL,408.4,408.4,408.4,408.4,408.4,3960,409.0,1621793.9,,-0.6,-0.15,,,,,0,
SAEF2,9.5,9.5,9.5,9.5,9.5,0,9.5,119230.0,,0.0,0.0,,,,,0,
SAGAR,1750.0,1750.0,1750.0,1750.0,1750.0,4058,1750.0,7013258.2,,0.0,0.0,,,,,0,
SAGF,10.26,10.26,10.26,10.26,10.26,0,10.57,1026.0,,-0.31,-2.93,,,,,0,
SAHAS,671.9,671.9,671.9,671.9,671.9,46722,672.0,31324141.3,,-0.1,-0.01,,,,,0,
SAIL,1090.0,1090.0,1090.0,1090.0,1090.0,28817,1099.0,31269895.2,,-9.0,-0.82,,,,,0,
SALICO,589.0,589.0,589.0,589.0,589.0,4215,586.0,2487300.8,,3.0,0.51,,,,,0,
SANIMA,370.0,370.0,370.0,370.0,370.0,461280,373.7,170879913.2,,-3.7,-0.99,,,,,0,
SANVI,590.0,590.0,590.0,590.0,590.0,10045,597.0,5928939.3,,-7.0,-1.17,,,,,0,
SAPDBL,839.9,839.9,839.9,839.9,839.9,24319,817.0,20108305.0,,22.9,2.8,,,,,0,
SARBTM,785.0,785.0,785.0,785.0,785.0,2373,783.0,1860862.2,,2.0,0.26,,,,,0,
SBCF,9.44,9.44,9.44,9.44,9.44,0,9.5,102440.0,,-0.06,-0.63,,,,,0,
SBI,405.9,405.9,405.9,405.9,405.9,10867,406.4,4388143.8,,-0.5,-0.12,,,,,0,
SBID83,1031.0,1031.0,1031.0,1031.0,1031.0,0,1040.0,103101.5,,-9.0,-0.87,,,,,0,
SBL,410.0,410.0,410.0,410.0,410.0,86200,411.0,35293380.6,,-1.0,-0.24,,,,,0,
SCB,648.0,648.0,648.0,648.0,648.0,8192,654.0,5314880.7,,-6.0,-0.92,,,,,0,
SEF,9.91,9.91,9.91,9.91,9.91,0,9.81,13754.1,,0.1,1.02,,,,,0,
SEF2,9.15,9.15,9.15,9.15,9.15,0,9.16,356587.36,,-0.01,-0.11,,,,,0,
SFEF,9.98,9.98,9.98,9.98,9.98,0,9.85,337280.0,,0.13,1.32,,,,,0,
SFMF,10.19,10.19,10.19,10.19,10.19,0,10.19,14892.0,,0.0,0.0,,,,,0,
SGHC,315.3,315.3,315.3,315.3,315.3,38765,318.5,12288411.4,,-3.2,-1.0,,,,,0,
SGHL,518.0,518.0,518.0,518.0,518.0,50921,525.6,26561662.2,,-7.6,-1.45,,,,,0,
SGIC,452.0,452.0,452.0,452.0,452.0,10822,456.3,4913874.1,,-4.3,-0.94,,,,,0,
SHEL,307.0,307.0,307.0,307.0,307.0,47541,306.89,14472712.5,,0.11,0.04,,,,,0,
SHINE,407.2,407.2,407.2,407.2,407.2,7440,408.2,3038684.5,,-1.0,-0.24,,,,,0,
SHINED,1095.0,1095.0,1095.0,1095.0,1095.0,0,1084.0,54750.0,,11.0,1.01,,,,,0,
SHIVM,637.7,637.7,637.7,637.7,637.7,44267,645.0,28343073.8,,-7.3,-1.13,,,,,0,
SHL,499.1,499.1,499.1,499.1,499.1,16785,498.6,8387335.0,,0.5,0.1,,,,,0,
SHLB,1475.0,1475.0,1475.0,1475.0,1475.0,108,1476.9,156700.0,,-1.9,-0.13,,,,,0,
SHPC,498.5,498.5,498.5,498.5,498.5,12536,499.9,6248058.9,,-1.4,-0.28,,,,,0,
SICL,609.1,609.1,609.1,609.1,609.1,10149,616.9,6192593.7,,-7.8,-1.26,,,,,0,
SIFC,505.5,505.5,505.5,505.5,505.5,7215,510.0,3657912.9,,-4.5,-0.88,,,,,0,
SIGS3,10.55,10.55,10.55,10.55,10.55,0,10.5,5624.5,,0.05,0.48,,,,,0,
SIKLES,559.0,559.0,559.0,559.0,559.0,5586,560.0,3114256.7,,-1.0,-0.18,,,,,0,
SINDU,691.0,691.0,691.0,691.0,691.0,9207,700.0,6357619.8,,-9.0,-1.29,,,,,0,
SIPD,680.0,680.0,680.0,680.0,680.0,15418,690.0,10333131.9,,-10.0,-1.45,,,,,0,
SJCL,273.5,273.5,273.5,273.5,273.5,6788,272.5,1844106.5,,1.0,0.37,,,,,0,
SJLIC,412.6,412.6,412.6,412.6,412.6,6494,414.2,2678825.0,,-1.6,-0.39,,,,,0,
SKBBL,749.9,749.9,749.9,749.9,749.9,5056,750.5,3780637.5,,-0.6,-0.08,,,,,0,
SKHEL,990.0,990.0,990.0,990.0,990.0,1482,989.0,1445286.7,,1.0,0.1,,,,,0,
SKHL,890.0,890.0,890.0,890.0,890.0,7040,890.0,6203718.5,,0.0,0.0,,,,,0,
SLBBL,802.0,802.0,802.0,802.0,802.0,1646,798.3,1304204.1,,3.7,0.46,,,,,0,
SLBSL,982.1,982.1,982.1,982.1,982.1,1298,999.1,1275916.0,,-17.0,-1.7,,,,,0,
SLCF,9.52,9.52,9.52,9.52,9.52,0,9.49,3067.0,,0.03,0.32,,,,,0,
SMATA,728.0,728.0,728.0,728.0,728.0,1029,732.0,743212.9,,-4.0,-0.55,,,,,0,
SMB,1820.0,1820.0,1820.0,1820.0,1820.0,889,1800.0,1602130.3,,20.0,1.11,,,,,0,
SMFBS,1493.1,1493.1,1493.1,1493.1,1493.1,374,1525.0,561692.8,,-31.9,-2.09,,,,,0,
SMH,506.0,506.0,506.0,506.0,506.0,6919,509.0,3507837.7,,-3.0,-0.59,,,,,0,
SMHL,494.0,494.0,494.0,494.0,494.0,19476,493.1,9614886.5,,0.9,0.18,,,,,0,
SMJC,458.0,458.0,458.0,458.0,458.0,212329,449.9,97732745.2,,8.1,1.8,,,,,0,
SMPDA,745.0,745.0,745.0,745.0,745.0,564,750.0,417641.6,,-5.0,-0.67,,,,,0,
SNLI,414.0,414.0,414.0,414.0,414.0,11773,415.3,4822039.5,,-1.3,-0.31,,,,,0,
SNORL,906.0,906.0,906.0,906.0,906.0,22802,881.6,20622057.1,,24.4,2.77,,,,,0,
SOHL,688.0,688.0,688.0,688.0,688.0,578177,662.0,392552704.0,,26.0,3.93,,,,,0,
SONA,408.0,408.0,408.0,408.0,408.0,23274,403.0,9427349.6,,5.0,1.24,,,,,0,
SOPL,792.0,792.0,792.0,792.0,792.0,33277,800.0,26505605.8,,-8.0,-1.0,,,,,0,
SPC,419.0,419.0,419.0,419.0,419.0,3743,420.0,1558104.9,,-1.0,-0.24,,,,,0,
SPDL,368.0,368.0,368.0,368.0,368.0,27048,362.4,9864683.5,,5.6,1.55,,,,,0,
SPHL,524.0,524.0,524.0,524.0,524.0,8181,520.0,4275110.0,,4.0,0.77,,,,,0,
SPIL,690.0,690.0,690.0,690.0,690.0,7183,687.0,4931872.1,,3.0,0.44,,,,,0,
SPL,652.0,652.0,652.0,652.0,652.0,2378,663.0,1538337.5,,-11.0,-1.66,,,,,0,
SRLI,374.0,374.0,374.0,374.0,374.0,17635,375.0,6543207.0,,-1.0,-0.27,,,,,0,
SSHL,200.3,200.3,200.3,200.3,200.3,78553,202.5,15806982.1,,-2.2,-1.09,,,,,0,
STC,5180.0,5180.0,5180.0,5180.0,5180.0,515,5200.0,2639751.0,,-20.0,-0.38,,,,,0,
SWASTIK,2040.0,2040.0,2040.0,2040.0,2040.0,441,2025.0,889079.0,,15.0,0.74,,,,,0,
SWBBL,665.0,665.0,665.0,665.0,665.0,4356,673.0,2899962.6,,-8.0,-1.19,,,,,0,
SWMF,619.0,619.0,619.0,619.0,619.0,7161,610.0,4310848.9,,9.0,1.48,,,,,0,
SYPNL,1284.0,1284.0,1284.0,1284.0,1284.0,22646,1280.0,28983016.5,,4.0,0.31,,,,,0,
TAMOR,445.1,445.1,445.1,445.1,445.1,9540,450.0,4254974.1,,-4.9,-1.09,,,,,0,
TPC,359.5,359.5,359.5,359.5,359.5,10040,360.3,3619427.6,,-0.8,-0.22,,,,,0,
TPKHL,554.0,554.0,554.0,554.0,554.0,37966,552.0,21082316.1,,2.0,0.36,,,,,0,
TRH,790.0,790.0,790.0,790.0,790.0,2221,792.0,1764356.0,,-2.0,-0.25,,,,,0,
TSHL,369.9,369.9,369.9,369.9,369.9,6016,372.2,2220987.0,,-2.3,-0.62,,,,,0,
TTL,710.0,710.0,710.0,710.0,710.0,16478,716.1,11704062.4,,-6.1,-0.85,,,,,0,
TVCL,482.0,482.0,482.0,482.0,482.0,2631,475.1,1259567.0,,6.9,1.45,,,,,0,
UAIL,440.7,440.7,440.7,440.7,440.7,14840,441.4,6502542.3,,-0.7,-0.16,,,,,0,
UHEWA,582.0,582.0,582.0,582.0,582.0,27628,571.79,15948963.7,,10.21,1.79,,,,,0,
ULBSL,2738.0,2738.0,2738.0,2738.0,2738.0,586,2700.5,1550441.0,,37.5,1.39,,,,,0,
ULHC,379.0,379.0,379.0,379.0,379.0,124394,407.2,45175849.9,,-28.2,-6.93,,,,,0,
UMHL,583.0,583.0,583.0,583.0,583.0,28870,582.1,16773939.7,,0.9,0.15,,,,,0,
UMRH,526.1,526.1,526.1,526.1,526.1,3386,535.1,1791298.8,,-9.0,-1.68,,,,,0,
UNHPL,375.0,375.0,375.0,375.0,375.0,7991,379.0,3008338.7,,-4.0,-1.06,,,,,0,
UNL,48500.0,48500.0,48500.0,48500.0,48500.0,13,48000.0,630500.0,,500.0,1.04,,,,,0,
UNLB,1275.9,1275.9,1275.9,1275.9,1275.9,658,1257.9,832368.5,,18.0,1.43,,,,,0,
UPCL,350.0,350.0,350.0,350.0,350.0,17545,351.0,6121005.4,,-1.0,-0.28,,,,,0,
UPPER,192.0,192.0,192.0,192.0,192.0,96273,194.1,18527402.1,,-2.1,-1.08,,,,,0,
USHEC,497.0,497.0,497.0,497.0,497.0,6636,496.1,3309562.8,,0.9,0.18,,,,,0,
USHL,538.9,538.9,538.9,538.9,538.9,1505,539.0,796946.2,,-0.1,-0.02,,,,,0,
USLB,1125.0,1125.0,1125.0,1125.0,1125.0,1018,1138.7,1133884.3,,-13.7,-1.2,,,,,0,
VLBS,666.0,666.0,666.0,666.0,666.0,1433,665.0,946389.7,,1.0,0.15,,,,,0,
VLUCL,420.0,420.0,420.0,420.0,420.0,5158,419.0,2136214.5,,1.0,0.24,,,,,0,
WNLB,1351.0,1351.0,1351.0,1351.0,1351.0,166,1335.0,223588.0,,16.0,1.2,,,,,0,
YMHL,621.79,621.79,621.79,621.79,621.79,26605,639.7,16603340.0,,-17.91,-2.8,,,,,0,
