symbol,open,high,low,close,ltp,volume,prev_close,turnover,transactions,diff,diff_percent,fifty_two_week_high,fifty_two_week_low,confidence,dma20,diff_20dma,below_20dma
GFCL,605.0,605.0,605.0,605.0,605.0,5011,603.0,3023600.0,,2.0,0.33,756.8,528.3,,613.94,-8.94,
GHL,228.0,228.0,228.0,228.0,228.0,48820,228.5,11167293.0,,-0.5,-0.22,290.0,197.1,,225.06,2.94,
GIBF1,10.75,10.75,10.75,10.75,10.75,0,10.98,22545.0,,-0.23,-2.09,11.68,9.3,,10.57,0.18,
GILB,1070.0,1070.0,1070.0,1070.0,1070.0,498,1090.0,533668.4,,-20.0,-1.83,1441.6,1020.1,,1096.33,-26.33,
GLBSL,1795.9,1795.9,1795.9,1795.9,1795.9,279,1801.0,461978.0,,-5.1,-0.28,2528.0,1705.2,,1786.12,9.78,
GLH,256.89,256.89,256.89,256.89,256.89,15144,257.39,3876759.2,,-0.5,-0.19,328.2,227.4,,253.3,3.59,
GMFBS,1154.0,1154.0,1154.0,1154.0,1154.0,1933,1183.09,2275696.2,,-29.09,-2.46,1871.0,1130.5,,1212.79,-58.79,
GMFIL,456.3,456.3,456.3,456.3,456.3,5395,455.3,2469656.3,,1.0,0.22,557.0,393.1,,463.23,-6.93,
GMLI,1105.0,1105.0,1105.0,1105.0,1105.0,2767,1104.0,3042106.0,,1.0,0.09,2375.0,1105.0,,1174.05,-69.05,
GRDBL,1049.0,1049.0,1049.0,1049.0,1049.0,9453,1047.8,9883100.6,,1.2,0.11,1668.4,949.0,,1060.95,-11.95,
GSY,9.52,9.52,9.52,9.52,9.52,0,9.51,547517.0,,0.01,0.11,10.46,8.7,,9.93,-0.41,
GUFL,569.9,569.9,569.9,569.9,569.9,10774,575.9,6149992.9,,-6.0,-1.04,644.0,460.6,,561.0,8.9,
GVL,482.0,482.0,482.0,482.0,482.0,6322,480.2,3034944.9,,1.8,0.37,662.0,439.1,,482.0,0.0,
H8020,12.2,12.2,12.2,12.2,12.2,0,12.2,46781.0,,0.0,0.0,12.56,10.0,,11.83,0.37,
HATHY,693.0,693.0,693.0,693.0,693.0,4014,685.9,2749312.8,,7.1,1.04,1382.4,660.0,,717.28,-24.28,
HBL,194.8,194.8,194.8,194.8,194.8,33399,194.9,6493555.1,,-0.1,-0.05,261.0,184.0,,198.21,-3.41,
HDHPC,208.0,208.0,208.0,208.0,208.0,71273,209.9,14889405.5,,-1.9,-0.91,274.0,162.0,,212.32,-4.32,
HDL,1167.0,1167.0,1167.0,1167.0,1167.0,12427,1167.0,14456522.4,,0.0,0.0,1556.1,1097.6,,1160.97,6.03,
HEI,534.0,534.0,534.0,534.0,534.0,2186,537.0,1171422.0,,-3.0,-0.56,654.0,458.0,,530.5,3.5,
HEIP,332.0,332.0,332.0,332.0,332.0,3160,337.5,1067818.0,,-5.5,-1.63,398.0,293.1,,335.01,-3.01,
HFIN,699.0,699.0,699.0,699.0,699.0,21761,709.0,15240708.0,,-10.0,-1.41,1450.6,101.7,,697.56,1.44,
HHL,337.0,337.0,337.0,337.0,337.0,8753,336.4,2938347.6,,0.6,0.18,459.0,309.0,,339.42,-2.42,
HIDCL,254.0,254.0,254.0,254.0,254.0,20564,254.6,5211326.4,,-0.6,-0.24,330.3,245.0,,257.43,-3.43,
HIDCLP,187.5,187.5,187.5,187.5,187.5,54196,189.9,10179779.7,,-2.4,-1.26,239.0,174.4,,191.05,-3.55,
HIMSTAR,696.0,696.0,696.0,696.0,696.0,4565,708.0,3184631.7,,-12.0,-1.69,1264.0,252.2,,713.55,-17.55,
HLBSL,870.0,870.0,870.0,870.0,870.0,217,880.0,185359.0,,-10.0,-1.14,1100.0,830.0,,881.03,-11.03,
HLI,319.7,319.7,319.7,319.7,319.7,14437,319.89,4581196.2,,-0.19,-0.06,464.0,313.1,,325.61,-5.91,
HLICF,8.94,8.94,8.94,8.94,8.94,0,8.5,25359.0,,0.44,5.18,10.55,8.25,,8.73,0.21,
HPPL,380.0,380.0,380.0,380.0,380.0,165076,388.0,62405055.3,,-8.0,-2.06,605.0,340.1,,370.13,9.87,
HRL,583.0,583.0,583.0,583.0,583.0,32994,584.0,19282769.7,,-1.0,-0.17,1139.9,545.0,,591.93,-8.93,
HURJA,238.0,238.0,238.0,238.0,238.0,29557,239.1,7041313.0,,-1.1,-0.46,312.1,204.6,,234.43,3.57,
ICFC,603.0,603.0,603.0,603.0,603.0,7627,605.0,4584099.1,,-2.0,-0.33,730.9,580.0,,609.24,-6.24,
